episode,outcome,reward,loss,epsilon,buffer,moves
344,W,6.67,0.034,0.178,50000,40
345,W,7.5,0.052,0.177,50000,41
346,L,0.56,0.057,0.177,50000,33
347,W,1.43,0.05,0.176,50000,22
348,W,6.82,0.052,0.175,50000,46
349,W,1.74,0.05,0.174,50000,25
350,W,1.74,0.047,0.173,50000,28
351,W,2.14,0.046,0.172,50000,21
352,W,6.75,0.044,0.171,50000,43
353,W,3.47,0.048,0.17,50000,33
354,W,1.75,0.042,0.17,50000,17
355,W,3.62,0.047,0.169,50000,28
356,L,5.54,0.048,0.168,50000,70
357,W,7.01,0.031,0.167,50000,42
358,W,7.28,0.04,0.166,50000,43
359,W,2.17,0.052,0.165,50000,29
360,W,3.77,0.036,0.165,50000,31
361,W,4.66,0.045,0.164,50000,39
362,W,2.45,0.042,0.163,50000,29
363,W,3.67,0.053,0.162,50000,33
364,L,0.49,0.046,0.161,50000,30
365,W,4.25,0.037,0.16,50000,37
366,W,2.87,0.044,0.16,50000,29
367,W,5.25,0.044,0.159,50000,38
368,W,2.77,0.049,0.158,50000,28
369,W,3.65,0.046,0.157,50000,29
370,W,4.02,0.038,0.157,50000,36
371,W,4.55,0.05,0.156,50000,23
372,L,2.35,0.046,0.155,50000,32
373,L,0.08,0.042,0.154,50000,26
374,W,2.53,0.052,0.153,50000,26
375,W,3.25,0.043,0.153,50000,36
376,W,5.09,0.055,0.152,50000,38
377,W,2.8,0.049,0.151,50000,33
378,W,4.87,0.045,0.15,50000,43
379,W,3.65,0.052,0.15,50000,30
380,W,6.0,0.038,0.149,50000,35
381,W,2.57,0.041,0.148,50000,34
382,W,4.36,0.045,0.147,50000,29
383,W,3.44,0.05,0.147,50000,36
384,W,5.03,0.059,0.146,50000,36
385,W,4.42,0.035,0.145,50000,23
386,W,4.66,0.053,0.144,50000,33
387,W,5.77,0.056,0.144,50000,42
388,W,8.5,0.039,0.143,50000,42
389,W,2.12,0.038,0.142,50000,17
390,W,4.98,0.038,0.142,50000,33
391,W,4.33,0.043,0.141,50000,28
392,W,6.08,0.044,0.14,50000,31
393,W,3.44,0.06,0.139,50000,20
394,W,6.99,0.058,0.139,50000,33
395,W,2.46,0.057,0.138,50000,27
396,W,2.57,0.045,0.137,50000,29
397,W,5.61,0.047,0.137,50000,38
398,W,3.23,0.052,0.136,50000,25
399,W,5.86,0.051,0.135,50000,38
400,W,4.26,0.047,0.135,50000,26
401,W,6.59,0.054,0.134,50000,32
402,W,4.4,0.049,0.133,50000,36
403,W,3.74,0.04,0.133,50000,32
404,W,7.87,0.043,0.132,50000,31
405,W,3.72,0.053,0.131,50000,24
406,W,5.98,0.05,0.131,50000,35
407,W,5.3,0.036,0.13,50000,27
408,W,5.43,0.047,0.129,50000,28
409,W,5.34,0.046,0.129,50000,26
410,W,3.15,0.045,0.128,50000,28
411,W,2.53,0.045,0.127,50000,19
412,L,0.94,0.058,0.127,50000,26
413,W,5.35,0.043,0.126,50000,32
414,W,3.23,0.049,0.126,50000,24
415,W,5.91,0.038,0.125,50000,30
416,W,6.83,0.044,0.124,50000,33
417,W,2.1,0.037,0.124,50000,17
418,W,2.76,0.058,0.123,50000,31
419,W,2.56,0.05,0.122,50000,29
420,W,4.61,0.039,0.122,50000,35
421,W,8.89,0.032,0.121,50000,52
422,W,2.75,0.038,0.121,50000,29
423,W,2.12,0.048,0.12,50000,18
424,L,6.47,0.045,0.119,50000,56
425,W,2.12,0.048,0.119,50000,14
426,W,5.81,0.049,0.118,50000,29
427,W,3.95,0.037,0.118,50000,31
428,W,3.23,0.043,0.117,50000,23
429,W,3.66,0.041,0.116,50000,32
430,W,1.87,0.054,0.116,50000,27
431,W,5.51,0.039,0.115,50000,30
432,W,6.01,0.038,0.115,50000,36
433,W,5.72,0.037,0.114,50000,20
434,W,7.3,0.037,0.114,50000,36
435,W,2.77,0.034,0.113,50000,24
436,W,3.79,0.043,0.112,50000,32
437,W,3.03,0.032,0.112,50000,48
438,W,7.01,0.037,0.111,50000,48
439,W,8.26,0.046,0.111,50000,46
440,W,3.64,0.037,0.11,50000,27
441,W,6.09,0.042,0.11,50000,31
442,W,1.43,0.039,0.109,50000,24
443,W,4.59,0.036,0.109,50000,33
444,W,2.13,0.05,0.108,50000,17
445,W,10.4,0.037,0.107,50000,43
446,W,1.04,0.049,0.107,50000,15
447,W,4.5,0.037,0.106,50000,37
448,W,2.56,0.044,0.106,50000,35
449,W,2.1,0.038,0.105,50000,18
450,W,6.15,0.044,0.105,50000,40
451,W,8.21,0.055,0.104,50000,37
452,W,3.62,0.042,0.104,50000,26
453,W,2.14,0.051,0.103,50000,22
454,W,3.82,0.05,0.103,50000,31
455,W,2.15,0.043,0.102,50000,24
456,W,3.15,0.053,0.102,50000,22
457,W,3.69,0.039,0.101,50000,33
458,W,2.84,0.042,0.101,50000,15
459,W,4.31,0.039,0.1,50000,32
460,W,5.75,0.037,0.1,50000,35
461,W,2.12,0.037,0.099,50000,18
462,W,4.25,0.037,0.099,50000,23
463,W,3.56,0.051,0.098,50000,27
464,W,3.05,0.038,0.098,50000,23
465,W,3.14,0.031,0.097,50000,22
466,W,3.46,0.048,0.097,50000,27
467,L,0.5,0.05,0.096,50000,40
468,W,3.4,0.035,0.096,50000,34
469,W,4.65,0.03,0.095,50000,30
470,W,6.95,0.05,0.095,50000,36
471,W,2.18,0.03,0.094,50000,27
472,W,3.34,0.043,0.094,50000,29
473,W,5.21,0.037,0.093,50000,34
474,W,3.33,0.036,0.093,50000,28
475,W,4.65,0.033,0.092,50000,26
476,W,6.69,0.037,0.092,50000,29
477,W,3.87,0.044,0.092,50000,24
478,W,6.07,0.049,0.091,50000,31
479,W,2.44,0.04,0.091,50000,19
480,W,2.05,0.034,0.09,50000,15
481,W,3.19,0.046,0.09,50000,25
482,W,3.15,0.044,0.089,50000,17
483,W,2.83,0.04,0.089,50000,17
484,W,1.74,0.041,0.088,50000,22
485,W,7.99,0.049,0.088,50000,36
486,W,5.13,0.041,0.088,50000,25
487,W,4.37,0.046,0.087,50000,33
488,W,4.48,0.042,0.087,50000,29
489,W,4.89,0.053,0.086,50000,34
490,W,1.44,0.041,0.086,50000,20
491,W,1.84,0.05,0.085,50000,22
492,W,1.86,0.028,0.085,50000,24
493,W,2.84,0.044,0.084,50000,21
494,W,4.18,0.037,0.084,50000,34
495,W,7.64,0.043,0.084,50000,59
496,W,6.28,0.052,0.083,50000,47
497,W,6.17,0.043,0.083,50000,43
498,W,7.32,0.04,0.082,50000,43
499,W,2.74,0.034,0.082,50000,16
500,W,4.93,0.039,0.082,50000,24
501,W,3.84,0.216,0.081,50000,30
502,W,4.34,0.086,0.081,50000,29
503,W,7.47,0.132,0.08,50000,37
504,W,1.48,0.104,0.08,50000,27
505,W,5.8,0.093,0.08,50000,45
506,W,3.53,0.095,0.079,50000,26
507,W,2.93,0.086,0.079,50000,19
508,W,4.57,0.078,0.078,50000,34
509,W,4.59,0.079,0.078,50000,24
510,W,3.18,0.092,0.078,50000,29
511,W,6.0,0.063,0.077,50000,59
512,W,2.9,0.055,0.077,50000,42
513,W,2.53,0.066,0.076,50000,25
514,W,3.14,0.075,0.076,50000,27
515,W,8.49,0.06,0.076,50000,38
516,W,4.34,0.072,0.075,50000,29
517,W,3.27,0.065,0.075,50000,30
518,W,5.68,0.068,0.075,50000,37
519,W,4.93,0.07,0.074,50000,35
520,W,4.77,0.065,0.074,50000,32
521,W,4.89,0.05,0.073,50000,31
522,W,4.26,0.061,0.073,50000,35
523,W,4.98,0.073,0.073,50000,39
524,W,4.23,0.057,0.072,50000,37
525,W,3.85,0.059,0.072,50000,26
526,W,5.47,0.078,0.072,50000,35
527,W,3.95,0.058,0.071,50000,30
528,W,6.45,0.077,0.071,50000,35
529,W,1.44,0.055,0.071,50000,19
530,W,4.48,0.049,0.07,50000,32
531,W,7.49,0.057,0.07,50000,38
532,W,6.7,0.057,0.069,50000,36
533,W,3.16,0.07,0.069,50000,25
534,W,3.75,0.076,0.069,50000,25
535,W,6.29,0.06,0.068,50000,29
536,W,3.26,0.071,0.068,50000,24
537,W,9.83,0.052,0.068,50000,46
538,W,7.44,0.067,0.067,50000,48
539,W,3.61,0.076,0.067,50000,30
540,W,2.46,0.054,0.067,50000,33
541,W,4.02,0.067,0.066,50000,31
542,W,4.0,0.074,0.066,50000,33
543,W,5.38,0.053,0.066,50000,36
544,W,3.78,0.057,0.065,50000,26
545,W,8.87,0.071,0.065,50000,46
546,W,4.05,0.048,0.065,50000,27
