episode,outcome,reward,loss,epsilon,buffer,moves
222,W,12.18,0.332,0.329,45504,45
223,W,11.85,0.238,0.327,45656,38
224,W,11.8,0.198,0.325,45864,51
225,W,11.47,0.293,0.324,46016,37
226,L,0.52,0.284,0.322,46248,58
227,W,11.66,0.336,0.321,46384,33
228,L,-0.32,0.244,0.319,46568,46
229,W,13.4,0.187,0.317,46808,60
230,W,12.63,0.143,0.316,46968,40
231,L,-0.9,0.083,0.314,47160,49
232,L,1.51,0.238,0.313,47408,63
233,W,12.62,0.167,0.311,47656,61
234,L,-0.91,0.332,0.309,47840,47
235,L,-1.54,0.291,0.308,48008,43
236,L,-0.81,0.435,0.306,48208,50
237,W,13.36,0.373,0.305,48408,49
238,W,11.66,0.214,0.303,48600,47
239,L,-1.13,0.2,0.302,48752,39
240,W,15.0,0.184,0.3,48976,56
241,W,12.34,0.29,0.299,49120,36
242,W,10.27,0.397,0.297,49232,27
243,W,10.42,0.24,0.296,49320,21
244,W,10.52,0.235,0.294,49424,25
245,W,10.27,0.12,0.293,49536,27
246,W,11.72,0.272,0.291,49696,39
247,W,12.43,0.393,0.29,49824,31
248,W,12.06,0.143,0.288,49992,41
249,W,12.34,0.171,0.287,50000,38
250,L,1.63,0.258,0.286,50000,60
251,W,15.62,0.346,0.284,50000,63
252,W,10.42,0.435,0.283,50000,32
253,L,0.01,0.269,0.281,50000,55
254,W,15.82,0.247,0.28,50000,57
255,W,10.91,0.226,0.279,50000,31
256,L,-0.44,0.347,0.277,50000,47
257,W,11.3,0.22,0.276,50000,42
258,W,13.31,0.262,0.274,50000,50
259,W,13.53,0.274,0.273,50000,49
260,L,-0.4,0.171,0.272,50000,46
261,W,12.05,0.247,0.27,50000,43
262,W,13.47,0.288,0.269,50000,43
263,L,2.01,0.231,0.268,50000,63
264,L,1.13,0.321,0.266,50000,62
265,W,12.3,0.195,0.265,50000,45
266,W,12.49,0.098,0.264,50000,45
267,W,13.47,0.241,0.262,50000,47
268,W,12.79,0.196,0.261,50000,54
269,W,12.29,0.158,0.26,50000,41
270,W,12.1,0.359,0.258,50000,48
271,L,-1.55,0.184,0.257,50000,27
272,L,-0.8,0.554,0.256,50000,49
273,W,11.23,0.219,0.255,50000,45
274,W,12.91,0.307,0.253,50000,47
275,L,0.41,0.257,0.252,50000,57
276,W,11.8,0.298,0.251,50000,52
277,L,6.2,0.321,0.249,50000,62
278,L,-0.23,0.302,0.248,50000,47
279,W,15.56,0.475,0.247,50000,71
280,W,13.87,0.173,0.246,50000,48
281,W,11.74,0.195,0.245,50000,52
282,W,13.21,0.347,0.243,50000,56
283,W,11.2,0.336,0.242,50000,45
284,L,-0.5,0.276,0.241,50000,54
285,W,10.49,0.338,0.24,50000,29
286,W,10.98,0.08,0.238,50000,40
287,W,12.46,0.201,0.237,50000,39
288,W,13.3,0.271,0.236,50000,51
289,W,11.35,0.187,0.235,50000,38
290,W,12.51,0.287,0.234,50000,48
291,W,11.17,0.219,0.233,50000,33
292,W,12.25,0.171,0.231,50000,33
293,W,11.21,0.206,0.23,50000,42
294,W,11.68,0.367,0.229,50000,42
295,W,13.13,0.234,0.228,50000,45
296,W,10.93,0.158,0.227,50000,32
297,W,11.38,0.154,0.226,50000,37
298,W,11.77,0.368,0.225,50000,40
299,W,11.46,0.183,0.223,50000,40
300,W,11.43,0.25,0.222,50000,30
301,W,12.73,0.289,0.221,50000,44
302,L,1.57,0.316,0.22,50000,54
303,W,12.78,0.183,0.219,50000,47
304,W,13.59,0.178,0.218,50000,44
305,L,-1.95,0.173,0.217,50000,34
306,L,-0.18,0.329,0.216,50000,47
307,W,12.91,0.143,0.215,50000,51
308,W,10.75,0.359,0.214,50000,25
309,W,11.2,0.245,0.212,50000,36
310,W,10.72,0.2,0.211,50000,25
311,L,-0.37,0.253,0.21,50000,48
312,W,11.28,0.202,0.209,50000,46
313,W,10.76,0.369,0.208,50000,40
314,W,11.75,0.289,0.207,50000,30
315,W,14.44,0.318,0.206,50000,66
316,W,12.36,0.163,0.205,50000,62
317,W,12.45,0.255,0.204,50000,44
318,W,12.48,0.345,0.203,50000,46
319,W,12.98,0.29,0.202,50000,42
320,W,14.05,0.305,0.201,50000,47
321,W,11.68,0.318,0.2,50000,43
322,W,11.58,0.216,0.199,50000,52
323,W,12.38,0.316,0.198,50000,48
324,W,13.01,0.302,0.197,50000,54
325,W,10.24,0.315,0.196,50000,25
326,W,11.19,0.411,0.195,50000,38
327,W,12.48,0.361,0.194,50000,47
328,W,10.53,0.177,0.193,50000,39
329,W,11.98,0.336,0.192,50000,40
330,L,-0.46,0.311,0.191,50000,53
331,W,11.69,0.342,0.19,50000,50
332,W,10.04,0.207,0.189,50000,23
333,W,12.22,0.177,0.188,50000,46
334,W,11.44,0.249,0.187,50000,27
335,W,10.47,0.403,0.187,50000,33
336,W,11.75,0.333,0.186,50000,34
337,W,14.09,0.344,0.185,50000,46
338,W,13.47,0.213,0.184,50000,58
339,W,14.82,0.287,0.183,50000,58
340,W,12.21,0.224,0.182,50000,49
341,W,11.29,0.255,0.181,50000,42
342,W,11.43,0.28,0.18,50000,26
343,W,12.7,0.364,0.179,50000,56
344,W,14.55,0.314,0.178,50000,45
345,W,13.2,0.295,0.177,50000,72
346,W,10.7,0.385,0.177,50000,41
347,W,13.01,0.206,0.176,50000,62
348,W,11.14,0.292,0.175,50000,30
349,W,12.84,0.229,0.174,50000,57
350,L,2.92,0.287,0.173,50000,57
351,W,13.2,0.313,0.172,50000,48
352,W,10.49,0.286,0.171,50000,36
353,W,12.19,0.301,0.17,50000,40
354,W,12.57,0.236,0.17,50000,42
355,W,12.28,0.381,0.169,50000,39
356,W,13.08,0.553,0.168,50000,46
357,W,11.39,0.167,0.167,50000,42
358,L,2.15,0.198,0.166,50000,58
359,W,10.94,0.414,0.165,50000,23
360,W,11.55,0.343,0.165,50000,36
361,W,11.83,0.49,0.164,50000,46
362,W,14.96,0.284,0.163,50000,52
363,W,11.45,0.444,0.162,50000,29
364,W,11.29,0.32,0.161,50000,43
365,W,10.71,0.241,0.16,50000,25
366,L,0.49,0.159,0.16,50000,53
367,W,10.5,0.3,0.159,50000,58
368,W,15.44,0.203,0.158,50000,62
369,W,13.23,0.573,0.157,50000,49
370,W,12.43,0.256,0.157,50000,50
371,W,10.57,0.345,0.156,50000,35
372,W,13.57,0.249,0.155,50000,47
373,W,10.95,0.361,0.154,50000,25
374,W,13.63,0.483,0.153,50000,43
375,W,10.92,0.347,0.153,50000,20
376,W,10.8,0.314,0.152,50000,33
377,W,12.8,0.397,0.151,50000,40
378,W,12.08,0.296,0.15,50000,40
379,W,11.01,0.431,0.15,50000,34
380,L,-0.85,0.395,0.149,50000,43
381,L,-0.99,0.5,0.148,50000,48
382,W,11.36,0.224,0.147,50000,36
383,W,11.84,0.321,0.147,50000,24
384,W,10.9,0.385,0.146,50000,31
385,W,11.72,0.389,0.145,50000,48
386,W,11.09,0.381,0.144,50000,33
387,W,11.29,0.366,0.144,50000,39
388,W,12.21,0.201,0.143,50000,46
389,W,10.73,0.266,0.142,50000,19
390,W,11.5,0.336,0.142,50000,43
391,W,10.94,0.228,0.141,50000,30
392,W,10.25,0.362,0.14,50000,23
393,W,12.57,0.246,0.139,50000,36
394,W,10.69,0.126,0.139,50000,43
395,W,12.23,0.241,0.138,50000,50
396,W,10.44,0.374,0.137,50000,18
397,W,12.08,0.188,0.137,50000,42
398,W,11.56,0.224,0.136,50000,26
399,W,10.32,0.438,0.135,50000,20
400,W,11.58,0.518,0.135,50000,36
401,W,12.34,0.407,0.134,50000,51
402,W,11.35,0.209,0.133,50000,28
403,W,12.05,0.367,0.133,50000,34
404,W,10.96,0.304,0.132,50000,34
405,W,12.89,0.343,0.131,50000,58
406,W,11.3,0.345,0.131,50000,43
407,W,14.59,0.439,0.13,50000,71
408,W,13.3,0.373,0.129,50000,53
409,W,10.56,0.367,0.129,50000,34
410,W,12.77,0.34,0.128,50000,45
411,W,13.75,0.322,0.127,50000,52
412,W,10.86,0.252,0.127,50000,37
413,W,10.54,0.488,0.126,50000,27
414,L,-0.81,0.35,0.126,50000,38
415,W,11.19,0.339,0.125,50000,35
416,W,10.42,0.334,0.124,50000,25
417,W,11.45,0.409,0.124,50000,34
418,W,13.49,0.441,0.123,50000,50
419,W,14.27,0.419,0.122,50000,56
420,L,0.72,0.565,0.122,50000,47
421,W,12.26,0.547,0.121,50000,50
422,W,10.23,0.326,0.121,50000,24
423,W,11.39,0.298,0.12,50000,38
424,W,11.1,0.516,0.119,50000,36
425,W,11.01,0.388,0.119,50000,42
426,W,11.38,0.407,0.118,50000,36
427,W,10.24,0.333,0.118,50000,20
428,W,10.49,0.283,0.117,50000,33
429,W,10.92,0.235,0.116,50000,23
430,L,-0.74,0.492,0.116,50000,47
431,W,10.23,0.36,0.115,50000,18
432,W,10.54,0.341,0.115,50000,21
433,W,11.14,0.39,0.114,50000,30
434,W,10.79,0.463,0.114,50000,32
435,W,11.04,0.248,0.113,50000,27
436,W,10.35,0.278,0.112,50000,25
437,W,12.39,0.386,0.112,50000,41
438,W,10.96,0.197,0.111,50000,32
439,W,10.74,0.314,0.111,50000,24
440,W,11.47,0.231,0.11,50000,33
441,W,13.28,0.276,0.11,50000,42
442,W,10.25,0.364,0.109,50000,28
443,W,11.7,0.177,0.109,50000,45
444,W,10.53,0.382,0.108,50000,19
445,W,10.23,0.578,0.107,50000,19
446,W,10.85,0.364,0.107,50000,27
447,W,11.89,0.356,0.106,50000,38
448,W,12.77,0.599,0.106,50000,44
449,W,12.46,0.578,0.105,50000,43
450,L,-1.33,0.423,0.105,50000,40
451,W,15.26,0.249,0.104,50000,56
452,W,10.74,0.305,0.104,50000,21
453,L,0.35,0.376,0.103,50000,57
454,W,12.13,0.437,0.103,50000,36
455,W,11.7,0.287,0.102,50000,54
456,W,10.31,0.441,0.102,50000,12
457,W,10.95,0.498,0.101,50000,37
458,W,11.46,0.315,0.101,50000,39
459,W,11.89,0.408,0.1,50000,37
460,W,12.9,0.311,0.1,50000,47
461,W,11.64,0.358,0.099,50000,29
462,W,12.28,0.434,0.099,50000,46
463,W,10.92,0.444,0.098,50000,39
464,W,12.09,0.168,0.098,50000,36
465,W,10.47,0.447,0.097,50000,29
466,W,11.56,0.415,0.097,50000,28
467,W,10.77,0.433,0.096,50000,30
468,W,10.56,0.239,0.096,50000,25
469,W,13.84,0.495,0.095,50000,45
