episode,outcome,reward,loss,epsilon,buffer,moves
459,W,2.36,0.036,0.1,50000,33
460,W,3.14,0.039,0.1,50000,29
461,W,1.85,0.031,0.099,50000,41
462,W,1.72,0.031,0.099,50000,34
463,L,0.74,0.047,0.098,50000,48
464,W,3.43,0.031,0.098,50000,31
465,W,1.21,0.034,0.097,50000,26
466,W,2.6,0.042,0.097,50000,26
467,W,1.91,0.026,0.096,50000,24
468,W,2.36,0.019,0.096,50000,30
469,W,2.01,0.034,0.095,50000,23
470,W,3.54,0.035,0.095,50000,39
471,W,3.15,0.031,0.094,50000,30
472,W,3.79,0.028,0.094,50000,30
473,W,3.79,0.032,0.093,50000,39
474,W,3.62,0.046,0.093,50000,33
475,W,2.15,0.047,0.092,50000,34
476,W,4.34,0.033,0.092,50000,53
477,W,2.5,0.026,0.092,50000,34
478,W,4.27,0.019,0.091,50000,51
479,W,1.19,0.049,0.091,50000,26
480,W,3.6,0.029,0.09,50000,44
481,W,2.82,0.04,0.09,50000,43
482,W,4.51,0.048,0.089,50000,59
483,W,3.02,0.029,0.089,50000,38
484,W,2.84,0.049,0.088,50000,44
485,W,3.06,0.036,0.088,50000,45
486,W,2.17,0.031,0.088,50000,33
487,W,4.27,0.036,0.087,50000,60
488,W,2.49,0.047,0.087,50000,29
489,W,2.14,0.032,0.086,50000,44
490,W,2.45,0.02,0.086,50000,37
491,W,1.88,0.031,0.085,50000,28
492,W,1.21,0.032,0.085,50000,26
493,W,2.67,0.03,0.084,50000,28
494,W,4.42,0.056,0.084,50000,54
495,W,2.71,0.026,0.084,50000,40
496,W,1.07,0.037,0.083,50000,34
497,W,2.25,0.036,0.083,50000,44
498,W,1.81,0.038,0.082,50000,11
499,W,3.22,0.027,0.082,50000,35
500,W,3.49,0.047,0.082,50000,30
501,W,1.71,0.072,0.081,50000,27
502,W,1.98,0.051,0.081,50000,26
503,W,3.14,0.052,0.08,50000,29
504,W,1.89,0.053,0.08,50000,23
505,W,1.17,0.047,0.08,50000,27
506,W,1.82,0.038,0.079,50000,32
507,W,1.71,0.046,0.079,50000,21
508,W,1.22,0.059,0.078,50000,20
509,W,2.15,0.052,0.078,50000,30
510,W,1.8,0.047,0.078,50000,27
511,W,2.85,0.027,0.077,50000,30
512,W,3.31,0.048,0.077,50000,25
513,W,1.58,0.069,0.076,50000,23
514,W,1.81,0.04,0.076,50000,24
515,W,1.81,0.027,0.076,50000,23
516,W,3.37,0.076,0.075,50000,31
517,W,1.33,0.044,0.075,50000,27
518,W,2.07,0.04,0.075,50000,28
519,W,1.79,0.04,0.074,50000,22
520,W,3.6,0.028,0.074,50000,34
521,W,2.56,0.057,0.073,50000,46
522,W,3.62,0.049,0.073,50000,64
523,L,-1.04,0.025,0.073,50000,31
524,W,3.95,0.035,0.072,50000,29
525,W,1.37,0.053,0.072,50000,25
526,W,1.96,0.052,0.072,50000,23
527,W,1.99,0.039,0.071,50000,24
528,W,1.71,0.054,0.071,50000,16
529,W,3.26,0.024,0.071,50000,41
530,W,3.59,0.033,0.07,50000,40
531,W,1.35,0.037,0.07,50000,19
532,W,1.71,0.027,0.069,50000,20
533,W,1.63,0.033,0.069,50000,28
534,W,2.73,0.055,0.069,50000,42
535,W,2.49,0.031,0.068,50000,34
536,W,2.75,0.03,0.068,50000,28
537,W,1.8,0.037,0.068,50000,27
538,W,2.08,0.024,0.067,50000,31
539,W,2.67,0.027,0.067,50000,29
540,W,2.11,0.03,0.067,50000,34
541,W,2.71,0.04,0.066,50000,31
542,W,3.84,0.047,0.066,50000,54
543,W,3.95,0.036,0.066,50000,71
544,W,3.14,0.022,0.065,50000,42
